-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.101,  0.247
-183.798, 80.187, 0.213,  0.280
-183.795, 80.177, 0.332,  0.313
-183.791, 80.162, 0.452,  0.346
-183.785, 80.144, 0.540,  0.379
-183.777, 80.123, 0.630,  0.412
-183.766, 80.096, 0.851,  0.445
-183.754, 80.061, 1.088,  0.478
-183.742, 80.018, 1.313,  0.511
-183.730, 79.969, 1.497,  0.544
-183.718, 79.916, 1.621,  0.577
-183.707, 79.860, 1.682,  0.610
-183.695, 79.805, 1.704,  0.643
-183.684, 79.749, 1.701,  0.676
-183.672, 79.694, 1.682,  0.709
-183.661, 79.641, 1.650,  0.742
-183.649, 79.589, 1.609,  0.775
-183.638, 79.538, 1.562,  0.808
-183.627, 79.489, 1.511,  0.841
-183.615, 79.442, 1.460,  0.874
-183.604, 79.396, 1.411,  0.907
-183.593, 79.352, 1.369,  0.940
-183.581, 79.308, 1.334,  0.973
-183.569, 79.266, 1.309,  1.006
-183.558, 79.224, 1.293,  1.039
-183.546, 79.182, 1.287,  1.072
-183.534, 79.140, 1.291,  1.105
-183.521, 79.098, 1.302,  1.138
-183.509, 79.055, 1.318,  1.171
-183.496, 79.012, 1.339,  1.204
-183.483, 78.968, 1.362,  1.237
-183.469, 78.923, 1.386,  1.270
-183.456, 78.878, 1.409,  1.303
-183.442, 78.832, 1.419,  1.336
-183.429, 78.786, 1.429,  1.369
-183.415, 78.740, 1.437,  1.402
-183.401, 78.694, 1.446,  1.435
-183.387, 78.647, 1.453,  1.468
-183.373, 78.600, 1.459,  1.501
-183.358, 78.553, 1.465,  1.534
-183.344, 78.506, 1.470,  1.567
-183.329, 78.459, 1.474,  1.600
-183.315, 78.412, 1.478,  1.633
-183.300, 78.365, 1.481,  1.666
-183.285, 78.318, 1.485,  1.699
-183.270, 78.270, 1.488,  1.732
